filename,track_title,duration,bpm,artist,album,genre,subgenre,timeofday
29352136.mp3,Freedom,03:29,90.0,Tessa Winter,Ghost EP,nan,Progressive,
29366842.mp3,Wash Away (Remix),05:38,115.0,Shuhandz,Wash Away - Remix,nan,House,
29374510.mp3,Missed Calls (bckgrnd vocal),02:33,80.0,REZI,Artificial Contentment,nan,Progressive,
29594680.mp3,PNFA - Radiate,07:18,123.0,Wolfram Gruss,PNFA - Seize EP,nan,Lounge,
29594824.mp3,PNFA - Again,06:35,123.0,Wolfram Gruss,PNFA - Push It Again EP,nan,House,
29594842.mp3,PNFA - Binder,07:46,125.0,Wolfram Gruss,PNFA - Now EP,nan,Progressive,
29594896.mp3,PNFA - Now,06:37,122.0,Wolfram Gruss,PNFA - Now EP,nan,House,
29594932.mp3,PNFA - Crossings,06:12,125.0,Wolfram Gruss,PNFA - Zigot,nan,"Electro, Progressive",
29598832.mp3,PNFA - Miles and Miles (Long Distance Club Remix),08:46,122.0,Wolfram Gruss,PNFA - Miles and Miles EP,nan,House,
29598844.mp3,PNFA - Painted Woof,03:18,115.0,Wolfram Gruss,PNFA - Vogue_02,nan,Lounge,
29598934.mp3,PNFA - Again (Vanilla Spiller),07:40,120.0,Wolfram Gruss,PNFA - Push It Again EP,nan,House,
29599048.mp3,PNFA - The Hive,06:11,120.0,Wolfram Gruss,PNFA - Vogue_04,nan,Electro,
29599318.mp3,PNFA - Starwalk,05:01,122.0,Wolfram Gruss,PNFA - Vogue_04,nan,Lounge,
29599360.mp3,PNFA - Immerge,06:00,121.0,Wolfram Gruss,PNFA - Vogue_04,nan,House,
29599372.mp3,PNFA - Upstream,05:30,118.0,Wolfram Gruss,PNFA - Vogue_04,nan,Ambient Beats,
29599558.mp3,PNFA - Foyer Pulsar,07:07,125.0,Wolfram Gruss,PNFA - Zigot,nan,Progressive,
29599648.mp3,PNFA - Miles and Miles,05:41,122.0,Wolfram Gruss,PNFA - Miles and Miles EP,nan,House,
29602078.mp3,PNFA - Hexilon,07:48,125.0,Wolfram Gruss,PNFA - Polybean EP,nan,Electro,
29602798.mp3,PNFA - Magic Mustard Machine (A Snack at 3 am),05:47,123.0,Wolfram Gruss,PNFA - Magic Mustard Machine EP,nan,House,
29602900.mp3,PNFA - Seize (Video Edit),04:17,123.0,Wolfram Gruss,PNFA - Seize EP,nan,"House, Lounge",
29602984.mp3,PNFA - Magic Mustard Machine (Mustard Allergy),05:22,123.0,Wolfram Gruss,PNFA - Magic Mustard Machine EP,nan,House,
29605288.mp3,PNFA - Immerge,06:22,121.0,Wolfram Gruss,PNFA - Miles and Miles EP,nan,House,
29605372.mp3,PNFA - Scypho,06:30,123.0,Wolfram Gruss,PNFA - Vogue_04,nan,"Ambient Beats, Electro",
29605492.mp3,PNFA - The Fourth Quadrant,06:06,125.0,Wolfram Gruss,PNFA - Vogue_04,nan,Lounge,
29605546.mp3,PNFA - Soul Fly,05:48,124.0,Wolfram Gruss,PNFA - Push It Again EP,nan,House,
29856034.mp3,Tree Of Smoke,04:18,120.0,Ben Thompson,Time Traveler,nan,Electro,
38978428.mp3,Calais,03:49,120.0,Wolfram Gruss,PNFA - Break The Sequence,nan,House,
